27168,BAILARINA ALUM.30CM CAPARROZ VERMELHA1UN,66,74.499557
27183,BAILARINA ALUM.30CM CAPARROZ VIOLETA 1UN,66,74.499557
27201,BAILARINA ALUM.30CM FUNDIDO CAPARROZ 1UN,202.4,228.465309
27165,CORTADOR LETRAS S MD.INOX CAPARROZ 1UN,3.21,3.623388
24293,ESPAT.C/DOBRA AMARELA 20CM CAPARROZ 1UN,10.85,12.247276
24296,ESPAT.C/DOBRA AZUL 25CM CAPARROZ 1UN,12.53,14.143628
24297,ESPAT.C/DOBRA VERMELHA 20CM CAPARROZ 1UN,10.85,12.247276
24298,ESPAT.C/DOBRA VERMELHA 25CM CAPARROZ 1UN,12.53,14.143628
24306,ESPAT.PLAST.RASP.AJUSTAVEL CAPARROZ 2UN,15.93,17.981484
24337,ESPATULA C/DOBRA INOX 30CM CAPARROZ 1UN,15.03,15.025151
24299,ESPATULA LISA AMARELA 20CM CAPARROZ 1UN,8.34,8.550131
24300,ESPATULA LISA AMARELA 25CM CAPARROZ 1UN,10.85,11.361358
24301,ESPATULA LISA AZUL 20CM CAPARROZ 1UN,8.34,9.414035
24307,FORMA BALLERINE 26X22X8.5CM CAPARROZ 1UN,10.55,11.908641
25160,FORMA BOLO VULCAO P 13X6CM CAPARROZ 1UN,8.18,10.971753
24313,FORMA BOLO VULCAO 21X9CM CAPARROZ 1UN,36.69,41.414981
27189,FORMA CORACAO ALUM.17X16X2 CAPARROZ 1UN,5.67,6.400189
24360,FORMA CORACAO BALAO CAPARROZ 12UN,15.02,16.954293
27186,FORMA SUICA ALUM.DECOR N4 CAPARROZ 1UN,42.32,47.770019
27188,FORMA SUICA ALUM.DE.13X6 N2 CAPARROZ 1UN,8.18,9.23343
27187,FORMA SUICA ALUM.D.24X19 N5 CAPARROZ 1UN,25.52,28.806495
25159,FORMA SUICA DEC.N1 P 13X6CM CAPARROZ 1UN,7.83,8.838357
24323,PA P/BOLO VERMERLHA CAPARROZ 1UN,3.08,3.476646
27192,AMIDO DE MILHO QUALIMAX 1.01KG,4.0549,0
27194,CALDO DE CARNE QUALIMAX 1.01KG,5.4168,0
27193,CALDO DE GALINHA QUALIMAX 1.01KG,5.4168,0
27196,CALDO/TEMP.P/FRUTOS DO MAR QUALIMAX 500G,6.908,0
